A1	A2	A3	A4	A5	A6	A7	A8
596.681	103.333	131.759	40.705	126.219	405.981	358.962	1244.42
566.904	105.117	129.04	40.195	130.603	405.798	360.303	1245.592
584.212	114.262	138.47	39.156	131.102	410.673	369.776	1280.117
562.865	117.336	135.351	35.892	130.696	394.961	365.22	1247.178
578.448	121.736	133.254	36.608	130.959	390.083	356.364	1248.056
597.471	120.309	122.1	36.797	131.094	390.047	358.913	1304.186
661.246	123.36	127.081	37.404	129.41	391.637	376.159	1323.575
664.527	138.259	127.482	37.344	128.524	397.701	389.045	1340.368
691.395	145.941	126.482	38.231	131.349	400.844	394.923	1380.931
705.045	148.599	131.376	34.819	134.033	404.246	399.055	1380.216
750.791	147.127	132.315	35.179	134.045	407.019	402.066	1375.816
761.683	133.021	134.913	34.109	144.763	431.031	420.989	1384.459
782.483	148.634	133.912	33.944	139.198	436.137	417.182	1398.402
825.714	187.605	143.397	32.291	146.946	453.934	424.264	1437.291
889.491	222.982	148.419	33.378	145.516	459.617	417.281	1442.268
843.301	230.976	158.501	34.747	144.127	431.294	405.807	1370.889
907.284	247.146	158.309	32.687	149.766	449.911	405.595	1426.573
883.002	240.637	161.985	32.126	146.588	450.378	401.472	1418.985
858.357	215.121	168.906	32.071	146.117	446.598	397.972	1373.698
911.103	208.569	178.389	31.564	151.056	465.809	407.928	1398.639
904.511	217.003	198.136	28.332	158.276	480.684	418.217	1383.977
876.028	207.247	219.288	29.544	157.746	484.277	424.606	1350.771
884.399	201.845	200.478	26.445	162.781	492.067	430.09	1320.392
918.789	224.852	195.343	25.333	164.605	500.033	435.244	1350.081
908.802	266.344	190.358	26.401	157.778	500.209	437.087	1362.995
880.833	257.315	170.08	26.508	153.779	477.027	435.546	1420.11
927.995	287.227	175.328	26.05	153.067	464.546	431.805	1493.026
906.675	274.055	174.52	26.587	147.639	457.429	416.227	1455.684
898.079	257.901	176.377	26.672	148.371	455.319	413.659	1468.971
755.175	255.983	170.52	27.89	136.095	445.441	415.468	1411.583
765.773	250.542	153.191	29.279	134.936	433.63	404.089	1401.984
785.597	268.367	146.507	28.93	134.615	418.296	384.999	1428.496
774.267	266.691	146.811	29.208	132.319	430.121	387.26	1372.937
732.77	260.027	125.91	29.237	130.065	428.488	374.16	1372.911
729.967	222.848	122.629	31.384	126.808	429.559	370.504	1395.128
743.149	221.398	120.189	28.408	129.448	430.089	365.825	1342.32
